Benchmark	SATTune	Z3	SMTRat	MathSAT	Alloy	Baseline	SATTune-V2	Org-Solver
2-25-4.killer	0.392448	78.50996	2000.296	242.5296	2000	0.3208	0.397985	0.61407
2-25-5.killer	0.329036	120.9938	2000.289	218.1529	2000	0.36964	0.309769	0.82255
2-25.killer	0.490343	151.3594	2000.299	812.9885	2000	0.39812	0.358048	1.0248
2-36-2.killer	2.586829	2000.941	2000.84	2000.856	2000	1.26012	2.494269	6.01177
2-36-3.killer	2.211826	2000.954	2000.854	2000.844	2000	1.9757	2.173707	3.26009
2-36-4.killer	2.355864	2000.946	2000.85	2000.845	2000	1.092	1.697473	3.25781
2-36-5.killer	2.62119	2000.947	2000.851	2000.852	2000	1.5429	2.574817	201.79462
2-36.killer	1.835793	2000.944	2000.848	2000.858	2000	18.83457	1393.028691	46.20009
4-16-2.killer	0.158789	80.93115	2000.123	210.585	2000	0.2508	0.137276	0.81437
4-16-3.killer	0.258451	181.7593	2000.129	130.1238	2000	0.39125	0.250427	1.46101
4-16.killer	75.614195	2000.144	2000.132	2000.136	2000	12.47243	75.602146	43.81407
5-16.killer	4.01785	169.0675	2000.19	2000.195	2000	4.6701	4.562643	61.70463
6-16.killer	69.944729	2000.263	2000.249	2000.258	2000	49.90206	68.171616	638.18598
